state,week_start,year,reported_cases,smoothed_cases,weekly_timing_unidentified,q025,q25,median,q75,q975
MS,2024-12-01,2024,0,0.6666666666666666,FALSE,0.8841109293074765,0.9158915305929933,0.9395525569440437,0.9612726835651417,0.9768032483203655
MS,2024-12-08,2024,1,0.3333333333333333,FALSE,0.8841376634329534,0.9159111741256135,0.9395608708189498,0.9612779847240059,0.9768104722821064
MS,2024-12-15,2024,0,0.6666666666666666,FALSE,0.884167227264669,0.9159331870963738,0.9395742420365143,0.9612880424699166,0.976818680106926
MS,2024-12-22,2024,1,5.999999999999999,FALSE,0.8841939390550292,0.9159528142734721,0.9395852340117554,0.9612954523306811,0.976825130900971
MS,2024-12-29,2024,17,13.666666666666666,FALSE,0.8841531161113405,0.9159344059690689,0.9395474660058012,0.9612463256553194,0.9767853646077655
MS,2025-01-05,2025,23,23.666666666666664,FALSE,0.8840119484230231,0.9158820636917148,0.939450363512577,0.9611968307653923,0.9767181197522423
MS,2025-01-12,2025,31,29,FALSE,0.8840031729964175,0.915816628701472,0.9393429732784317,0.9610322063081159,0.9765359233227852
MS,2025-01-19,2025,33,39.666666666666664,FALSE,0.8839864681192482,0.9157560119455979,0.939211134199252,0.9608252728580136,0.9763121616872178
MS,2025-01-26,2025,55,59.33333333333333,FALSE,0.883953909308257,0.9157270565080199,0.9390822517458797,0.9605451981513079,0.9760044939324349
MS,2025-02-02,2025,90,79.33333333333333,FALSE,0.8838939102063845,0.9155641240408304,0.9388748715853564,0.9601069455531526,0.975516515943653
MS,2025-02-09,2025,93,95,FALSE,0.883805794670593,0.9154827781284517,0.9384271657803214,0.9595792273972975,0.9748621948641646
MS,2025-02-16,2025,102,109,FALSE,0.883684631948688,0.9153074664325892,0.9381143718305979,0.9588639864935897,0.9740802679754411
MS,2025-02-23,2025,132,148,FALSE,0.8835524427601591,0.9151187636979811,0.9375973754171287,0.9580724628119158,0.9732978648512985
MS,2025-03-02,2025,210,209.66666666666666,FALSE,0.883380650991559,0.9149714337295385,0.9370335297750803,0.9569213717892909,0.9722202307391273
MS,2025-03-09,2025,287,301,FALSE,0.883126321926628,0.9143973290716635,0.9363207426204732,0.9553108565931989,0.9705568026404849
MS,2025-03-16,2025,406,366.66666666666663,FALSE,0.8826382461227877,0.9137701597980046,0.9350002772754376,0.9531365914316263,0.9683047413283284
MS,2025-03-23,2025,407,420.66666666666663,FALSE,0.8818269912178182,0.9131144994722097,0.9331943269597472,0.9503893828956865,0.9659006465137394
MS,2025-03-30,2025,449,443.33333333333326,FALSE,0.8813365966295901,0.9122729485198455,0.9311933329892246,0.9472218539971154,0.9630679645180307
MS,2025-04-06,2025,474,427.33333333333326,FALSE,0.8803753874055814,0.9112477268767621,0.9292503714394938,0.9441608263823353,0.9604670596898747
MS,2025-04-13,2025,359,401.66666666666663,FALSE,0.8797214794318573,0.9102262429431316,0.9272024161451367,0.9411180194193549,0.9579215076052419
MS,2025-04-20,2025,372,357.66666666666663,FALSE,0.8791249327771741,0.9091669618588827,0.9252403393713089,0.9384993184973188,0.9552287915407893
MS,2025-04-27,2025,342,411,FALSE,0.8783766414446151,0.9081466559025626,0.9235817857993504,0.9361779035352662,0.9529286288753201
MS,2025-05-04,2025,519,458,FALSE,0.8774587332265302,0.9070393333133708,0.9218085066155248,0.9335930902343337,0.9504071464953979
MS,2025-05-11,2025,513,560.6666666666666,FALSE,0.8768357213634649,0.9054312547038312,0.919580422740828,0.9308331594734767,0.9476810962775015
MS,2025-05-18,2025,650,549,FALSE,0.8750070376198766,0.9036701818252646,0.916920378090015,0.9275545825776654,0.944380504117417
MS,2025-05-25,2025,484,500.33333333333326,FALSE,0.8732333919591256,0.9012420618948807,0.9142872843261918,0.9248170942510614,0.9412384717086135
MS,2025-06-01,2025,367,426.99999999999994,FALSE,0.8710542828761284,0.899227864408121,0.9119998495527225,0.9223764942639749,0.9387740300362004
MS,2025-06-08,2025,430,356.66666666666663,FALSE,0.8691916725886549,0.8975015739025257,0.9098906593807325,0.9204233121809968,0.9371479369012053
MS,2025-06-15,2025,273,300.66666666666663,FALSE,0.8677945618406977,0.8959501942723576,0.9082540443894682,0.9189728457638886,0.9358181715409664
MS,2025-06-22,2025,199,217.33333333333331,FALSE,0.8662317637475714,0.8945452393439384,0.9068007144122023,0.9177713278229462,0.9344482201738143
MS,2025-06-29,2025,180,176,FALSE,0.864799900446688,0.8933933723614493,0.9057286904717528,0.9167523396152552,0.9337666093974174
