year,age,share
2022,0,0.013881248821707949
2022,1,0.013977341497659772
2022,2,0.014065794106430655
2022,3,0.014147252287500679
2022,4,0.014214614006588966
2022,5,0.01397131552917903
2022,6,0.014097000014634495
2022,7,0.014120996281977447
2022,8,0.013664636776141296
2022,9,0.01363418411399755
2022,10,0.013798606968257781
2022,11,0.013924614273453284
2022,12,0.014045779282548193
2022,13,0.01432964544062312
2022,14,0.014592851135335504
2022,15,0.01476340756465649
2022,16,0.015027366505428966
2022,17,0.014944939865138826
2022,18,0.014807095836141865
2022,19,0.015236984123294758
2022,20,0.015703135827912114
2022,21,0.016124846014984002
2022,22,0.016839676526011954
2022,23,0.01743474091348517
2022,24,0.0177950077433695
2022,25,0.01780210977765037
2022,26,0.017580655435983125
2022,27,0.017399768774980867
2022,28,0.017203386766456705
2022,29,0.01703788784639634
2022,30,0.01698279327742956
2022,31,0.016986882327470067
2022,32,0.016969988094407987
2022,33,0.01696514579830739
2022,34,0.016877231222436576
2022,35,0.016676114524391827
2022,36,0.01639978082691783
2022,37,0.01609256404098003
2022,38,0.01573918403221655
2022,39,0.015395381009074248
2022,40,0.015078479630935256
2022,41,0.01477502907529792
2022,42,0.014443385595697114
2022,43,0.014099690179134827
2022,44,0.013741037447950697
2022,45,0.013348596250642412
2022,46,0.01294302705057251
2022,47,0.012541008867643045
2022,48,0.012124571402991807
2022,49,0.011799599531351823
2022,50,0.011602141457027527
2022,51,0.011480546021612567
2022,52,0.01135141812559668
2022,53,0.011229822690181718
2022,54,0.011070672558342135
2022,55,0.010833507655992955
2022,56,0.010534684183296188
2022,57,0.010253292976561565
2022,58,0.009995790430589882
2022,59,0.009658228589088349
2022,60,0.00918669655547033
2022,61,0.00863166181576204
2022,62,0.00809825599863641
2022,63,0.007565495820990859
2022,64,0.007111718873075026
2022,65,0.006767700636772698
2022,66,0.0064911517261386715
2022,67,0.006214925635244685
2022,68,0.005952257973432366
2022,69,0.005710358381562602
2022,70,0.005459957869871793
2022,71,0.005195460896199249
2022,72,0.0049623850438905714
2022,73,0.0047657878222063825
2022,74,0.004534971708077983
2022,75,0.004211936754878237
2022,76,0.0038324083471715396
2022,77,0.0034916183082696088
2022,78,0.003166538830049611
2022,79,0.0029036559550772657
2022,80,0.002688442795050786
2022,81,0.0024920607865266233
2022,82,0.0023154783887248966
2022,83,0.0021722540307272742
2022,84,0.0019997606829660506
2022,85,0.0017462395804548573
2022,86,0.0014527964367587521
2022,87,0.001214125042289386
2022,88,0.001009242113944177
2022,89,8.492311294644894e-4
2022,90,3.317217389317241e-4
2022,91,3.317217389317241e-4
2022,92,3.317217389317241e-4
2022,93,3.317217389317241e-4
2022,94,3.317217389317241e-4
2022,95,3.317217389317241e-4
2022,96,3.317217389317241e-4
2022,97,3.317217389317241e-4
2022,98,3.317217389317241e-4
2022,99,3.317217389317241e-4
2022,100,3.317217389317241e-4
2023,0,0.013663839994999415
2023,1,0.01377654580351214
2023,2,0.013880581934446962
2023,3,0.013972416296938812
2023,4,0.014055045816570173
2023,5,0.014126222799154181
2023,6,0.013888502380629244
2023,7,0.014013195891471906
2023,8,0.0140372783291883
2023,9,0.013583351136498402
2023,10,0.01355359594678659
2023,11,0.013717998721597173
2023,12,0.013843227397722422
2023,13,0.013963639586304392
2023,14,0.014245885756340532
2023,15,0.01448285694346985
2023,16,0.01462670937142911
2023,17,0.014889047392953028
2023,18,0.014807274137773807
2023,19,0.014670164792375137
2023,20,0.015063404242019723
2023,21,0.015491643501145468
2023,22,0.015910463851297692
2023,23,0.01661998598295092
2023,24,0.017211129554096004
2023,25,0.017589063276658615
2023,26,0.01761721297052267
2023,27,0.0173972600393796
2023,28,0.017217872636656594
2023,29,0.017023072473795097
2023,30,0.016873975426066487
2023,31,0.016834908360437672
2023,32,0.016838868583528812
2023,33,0.016822385492825147
2023,34,0.016817676038338385
2023,35,0.01673515355176354
2023,36,0.016540674488071595
2023,37,0.016266455797274253
2023,38,0.015961625652312964
2023,39,0.015611092392218782
2023,40,0.015263234958537535
2023,41,0.014942349855098649
2023,42,0.01464137290017198
2023,43,0.014312781416663848
2023,44,0.013971988164712743
