week,week_start,calendar_year,entrants_total,entrants_susceptible,doses,effective,birth_cohort
1704,2047-08-25,2047,1859.613145756723,1936.96369331993,1673.6518311810507,1394.6138591903498,2035
1705,2047-09-01,2047,1859.6097786438875,1937.0033529745417,1673.6488007794987,1394.64241414167,2035
1706,2047-09-08,2047,1859.606448926774,1937.0422950007876,1673.6458040340965,1394.6704524005672,2035
1707,2047-09-15,2047,1859.6031562042974,1937.0805852728358,1673.6428405838676,1394.698021396442,2035
1708,2047-09-22,2047,1859.599900079402,1937.1182355329208,1673.6399100714618,1394.7251295837032,2035
1709,2047-09-29,2047,1859.596680159025,1937.1552728072693,1673.6370121431225,1394.751796421234,2035
1710,2047-10-06,2047,1859.5934960540606,1937.1918266258147,1673.6341464486545,1394.7781151705867,2035
1711,2047-10-13,2047,1859.590347379324,1937.2280274313384,1673.6313126413916,1394.804179750564,2035
1712,2047-10-20,2047,1859.5872337535138,1937.2639476220338,1673.6285103781624,1394.8300422878644,2035
1713,2047-10-27,2047,1859.5841547991784,1937.2997817338176,1673.6257393192604,1394.8558428483489,2035
1714,2047-11-03,2047,1859.58111014268,1937.3356028401276,1673.622999128412,1394.881634044892,2035
1715,2047-11-10,2047,1859.5780994141617,1937.3714866531539,1673.6202894727455,1394.9074703902709,2035
1716,2047-11-17,2047,1859.5751222475105,1937.407509409652,1673.6176100227594,1394.9334067749496,2035
1717,2047-11-24,2047,1859.572178280325,1937.4437403687962,1673.6149604522925,1394.9594930655335,2035
1718,2047-12-01,2047,1859.5692671538798,1937.4801668543619,1673.6123404384919,1394.9857201351408,2035
1719,2047-12-08,2047,1859.568816093637,1937.518253631711,1673.6119344842734,1395.013142614832,2035
1720,2047-12-15,2047,1859.5659696866585,1937.5552309011252,1673.6093727179928,1395.0397662488103,2035
1721,2047-12-22,2047,1859.5631550938865,1937.5924722507182,1673.606839584498,1395.0665800205172,2035
1722,2047-12-29,2047,1859.5603719698352,1937.6299117089397,1673.6043347728516,1395.0935364304369,2035
1723,2048-01-05,2048,1859.5576199725604,1937.6675490845023,1673.6018579753043,1395.1206353408418,2036
1724,2048-01-12,2048,1859.5548987636278,1937.7053104591778,1673.599408887265,1395.147823530608,2036
1725,2048-01-19,2048,1859.5522080080796,1937.7432077208557,1673.5969872072717,1395.1751095590162,2036
1726,2048-01-26,2048,1859.5495473744024,1937.7811818295934,1673.5945926369623,1395.2024509173075,2036
1727,2048-02-02,2048,1859.5469165344955,1937.8192236664909,1673.592224881046,1395.2298410398737,2036
1728,2048-02-09,2048,1859.544315163638,1937.857297171949,1673.5898836472743,1395.2572539638036,2036
1729,2048-02-16,2048,1859.5417429404554,1937.8954111644098,1673.5875686464099,1395.2846960383752,2036
1730,2048-02-23,2048,1859.5391995468908,1937.933474537512,1673.5852795922017,1395.3121016670088,2036
1731,2048-03-01,2048,1859.5366846681716,1937.9714980242102,1673.5830162013544,1395.3394785774315,2036
1732,2048-03-08,2048,1859.534197992778,1938.0094598684236,1673.5807781935002,1395.3668111052652,2036
1733,2048-03-15,2048,1859.5317392124118,1938.0473414024316,1673.5785652911707,1395.394085809751,2036
1734,2048-03-22,2048,1859.529308021967,1938.0851363376644,1673.5763772197702,1395.4212981631185,2036
1735,2048-03-29,2048,1859.5269041194956,1938.1228455752941,1673.574213707546,1395.448448814212,2036
1736,2048-04-05,2048,1859.5245272061804,1938.160441233496,1673.5720744855623,1395.4755176881172,2036
1737,2048-04-12,2048,1859.522176986302,1938.1979175510658,1673.5699592876717,1395.5025006367675,2036
1738,2048-04-19,2048,1859.5198531672104,1938.2352727683922,1673.5678678504894,1395.5293963932425,2036
1739,2048-04-26,2048,1859.5175554592936,1938.2724894310477,1673.5657999133643,1395.5561923903545,2036
1740,2048-05-03,2048,1859.515283575947,1938.3095455354878,1673.5637552183523,1395.5828727855514,2036
1741,2048-05-10,2048,1859.513037233547,1938.34644217241,1673.5617335101924,1395.6094383641353,2036
1742,2048-05-17,2048,1859.5108161514188,1938.3831622162977,1673.559734536277,1395.6358767957345,2036
1743,2048-05-24,2048,1859.5086200518058,1938.4196949131422,1673.5577580466252,1395.6621803374626,2036
1744,2048-05-31,2048,1859.5064486598455,1938.4560260717565,1673.555803793861,1395.6883387716648,2036
1745,2048-06-07,2048,1859.5043017035368,1938.4921567105787,1673.5538715331832,1395.714352831617,2036
1746,2048-06-14,2048,1859.5021789137122,1938.5280592872318,1673.551961022341,1395.7402026868072,2036
1747,2048-06-21,2048,1859.5000800240111,1938.5637100065323,1673.55007202161,1395.7658712047034,2036
1748,2048-06-28,2048,1859.4980047708507,1938.5990293936673,1673.5482042937656,1395.7913011634405,2036
1749,2048-07-05,2048,1859.495952893399,1938.6340363328038,1673.546357604059,1395.816506159619,2036
1750,2048-07-12,2048,1859.4939241335464,1938.6686858387634,1673.5445317201918,1395.8414538039099,2036
1751,2048-07-19,2048,1859.4919182358803,1938.7028674812989,1673.5427264122923,1395.8660645865355,2036
1752,2048-07-26,2048,1859.4899349476568,1938.7365926215355,1673.5409414528913,1395.8903466875056,2036
1753,2048-08-02,2048,1859.4879740187762,1938.7697935374913,1673.5391766168987,1395.914251346994,2036
1754,2048-08-09,2048,1859.4860352017545,1938.8024341004718,1673.5374316815792,1395.9377525523398,2036
1755,2048-08-16,2048,1859.4841182517002,1938.8344916803123,1673.5357064265302,1395.960834009825,2036
1756,2048-08-23,2048,1859.4822229262866,1938.8660026841733,1673.534000633658,1395.9835219326048,2036
1757,2048-08-30,2048,1859.4803489857277,1938.8968649265287,1673.5323140871549,1396.0057427471008,2036
1758,2048-09-06,2048,1859.4784961927535,1938.9271442682784,1673.5306465734782,1396.0275438731605,2036
1759,2048-09-13,2048,1859.4766643125847,1938.9568525720138,1673.5289978813262,1396.04893385185,2036
1760,2048-09-20,2048,1859.47485311291,1938.986017107357,1673.527367801619,1396.0699323172971,2036
1761,2048-09-27,2048,1859.4730623638595,1939.0147630033425,1673.5257561274736,1396.0906293624068,2036
1762,2048-10-04,2048,1859.471291837984,1939.043213578529,1673.5241626541856,1396.111113776541,2036
1763,2048-10-11,2048,1859.469541310229,1939.0714392929158,1673.522587179206,1396.1314362908995,2036
1764,2048-10-18,2048,1859.4678105579142,1939.099623761389,1673.5210295021227,1396.1517291082002,2036
1765,2048-10-25,2048,1859.4660993607076,1939.1278345172084,1673.519489424637,1396.1720408523902,2036
1766,2048-11-01,2048,1859.4644075006051,1939.156144480448,1673.5179667505447,1396.1924240259227,2036
1767,2048-11-08,2048,1859.4627347619078,1939.1846223363743,1673.516461285717,1396.2129280821896,2036
1768,2048-11-15,2048,1859.4610809311998,1939.2133346228206,1673.51497283808,1396.233600928431,2036
1769,2048-11-22,2048,1859.4594457973249,1939.2422663545044,1673.5135012175924,1396.2544317752433,2036
1770,2048-11-29,2048,1859.4578291513672,1939.27151856335,1673.5120462362304,1396.2754933656122,2036
1771,2048-12-06,2048,1859.4586583671714,1939.3023858280858,1673.5127925304544,1396.2977177962218,2036
1772,2048-12-13,2048,1859.4570781787663,1939.3321870659167,1673.5113703608897,1396.3191746874602,2036
1773,2048-12-20,2048,1859.4555158926619,1939.3622067171054,1673.5099643033957,1396.340788836316,2036
1774,2048-12-27,2048,1859.4539713075467,1939.3924425456257,1673.508574176792,1396.3625586328508,2036
1775,2049-01-03,2049,1859.452444224276,1939.4228272787655,1673.5071998018484,1396.3844356407112,2037
1776,2049-01-10,2049,1859.4509344458447,1939.4533686459245,1673.5058410012603,1396.4064254250657,2037
1777,2049-01-17,2049,1859.4494417773706,1939.4840133023727,1673.5044975996336,1396.4284895777084,2037
1778,2049-01-24,2049,1859.4479660260727,1939.5147507422403,1673.5031694234654,1396.4506205344132,2037
1779,2049-01-31,2049,1859.446507001248,1939.545548055166,1673.501856301123,1396.4727945997197,2037
1780,2049-02-07,2049,1859.4450645142533,1939.5764105642509,1673.500558062828,1396.4950156062607,2037
1781,2049-02-14,2049,1859.4436383784837,1939.6072556972294,1673.4992745406353,1396.5172241020055,2037
1782,2049-02-21,2049,1859.4422284093516,1939.6380905084113,1673.4980055684166,1396.5394251660564,2037
1783,2049-02-28,2049,1859.4408344242654,1939.668895910793,1673.4967509818389,1396.5616050557712,2037
1784,2049-03-07,2049,1859.4394562426107,1939.6996544812046,1673.4955106183497,1396.5837512264675,2037
1785,2049-03-14,2049,1859.4380936857312,1939.7303591442258,1673.4942843171582,1396.6058585838427,2037
