muni6,total_cases,active_months,active_years,peak_year_cases,outbreak_years,active_month_frac,active_year_frac,peak_year_share,episodes,recurrence_index,persistence_index,concentration_index,pattern_class
130165,9,8,5,3,2,0.06666666666666667,0.5,0.3333333333333333,8,0.5,0.06666666666666667,0.3333333333333333,recurrent
130170,98,27,9,54,2,0.225,0.9,0.5510204081632653,11,0.9,0.225,0.5510204081632653,recurrent
130180,56,11,5,49,1,0.09166666666666666,0.5,0.875,9,0.5,0.09166666666666666,0.875,sporadic
130185,61,40,8,22,6,0.3333333333333333,0.8,0.36065573770491804,23,0.8,0.3333333333333333,0.36065573770491804,recurrent
130190,41,24,9,13,5,0.2,0.9,0.3170731707317073,20,0.9,0.2,0.3170731707317073,recurrent
130195,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
130210,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
130220,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
130230,12,8,5,5,2,0.06666666666666667,0.5,0.4166666666666667,7,0.5,0.06666666666666667,0.4166666666666667,recurrent
130240,7,7,4,3,1,0.058333333333333334,0.4,0.42857142857142855,7,0.4,0.058333333333333334,0.42857142857142855,recurrent
130250,28,23,6,7,5,0.19166666666666668,0.6,0.25,18,0.6,0.19166666666666668,0.25,recurrent
130260,2715,120,10,1007,6,1,1,0.37090239410681397,1,1,1,0.37090239410681397,recurrent
130270,5,5,5,1,0,0.041666666666666664,0.5,0.2,5,0.5,0.041666666666666664,0.2,recurrent
130280,5,3,2,4,1,0.025,0.2,0.8,3,0.2,0.025,0.8,sporadic
130290,12,9,6,5,1,0.075,0.6,0.4166666666666667,8,0.6,0.075,0.4166666666666667,recurrent
130300,2,2,2,1,0,0.016666666666666666,0.2,0.5,2,0.2,0.016666666666666666,0.5,sporadic
130310,5,4,2,3,1,0.03333333333333333,0.2,0.6,4,0.2,0.03333333333333333,0.6,sporadic
130320,85,34,7,26,5,0.2833333333333333,0.7,0.3058823529411765,12,0.7,0.2833333333333333,0.3058823529411765,recurrent
130330,13,8,5,7,2,0.06666666666666667,0.5,0.5384615384615384,5,0.5,0.06666666666666667,0.5384615384615384,recurrent
130340,189,50,9,74,4,0.4166666666666667,0.9,0.3915343915343915,16,0.9,0.4166666666666667,0.3915343915343915,recurrent
130350,10,9,5,4,1,0.075,0.5,0.4,7,0.5,0.075,0.4,recurrent
130353,92,35,8,19,8,0.2916666666666667,0.8,0.20652173913043478,19,0.8,0.2916666666666667,0.20652173913043478,recurrent
130356,19,16,8,5,3,0.13333333333333333,0.8,0.2631578947368421,12,0.8,0.13333333333333333,0.2631578947368421,recurrent
