mode,draw,case_loglik,serology_loglik,q_prior_logdensity,other_priors_logdensity,lp__,q,alpha_R
low_q,49,-1225.931257406364,-4.5107625234436455,-1.1663006373325022,-9.83891432312791,-1457.3457315459475,0.06480734650567897,0.16012770073186944
low_q,50,-1223.5150349640992,-4.4737911205942,-1.1660836535955514,-9.4600785641402,-1454.6443869390398,0.038482498632363756,0.24298797695198926
low_q,51,-1222.7688888617283,-4.659904311635671,-1.143810158485831,-9.73839068531832,-1454.3384393719618,0.04662260851455622,0.24689982392855664
low_q,52,-1223.5388603017516,-4.4737215538019655,-1.1441546823973578,-9.460838224754504,-1454.608125857903,0.053964177655768684,0.2357930751107947
low_q,53,-1226.7389229451578,-4.1974694049660854,-1.1431139054344457,-9.787266258893762,-1457.7293032578434,0.052767214149243444,0.19303709984889164
low_q,54,-1221.9469086426395,-4.262670026145884,-1.1420866968616563,-10.952615191870448,-1454.196908429534,0.04981997303634634,0.21660626821867648
low_q,55,-1221.4056170284528,-4.547294208292016,-1.148594062696656,-10.423925287970363,-1453.438788992931,0.043642841608089504,0.24524040513119572
low_q,56,-1221.1300921910731,-4.2030996423222575,-1.1452791542175134,-9.62089755856497,-1452.0279414151018,0.054967107358551065,0.20110947724387554
low_q,57,-1223.6831347640016,-4.589630165414604,-1.1535389120868689,-9.52495951246938,-1454.8063774517702,0.041740181822505794,0.24518408194630295
low_q,58,-1224.8900192219319,-4.50538357832167,-1.1437660964115937,-9.452804500883792,-1455.8816471116033,0.04666453815260832,0.2385607025866946
low_q,59,-1222.9183720926567,-4.265386029018742,-1.1543040919492185,-9.367009861114518,-1453.7023120397703,0.041492239393544704,0.2217016360138067
low_q,60,-1221.0188262286724,-4.316058897256056,-1.1433550863351543,-10.060894522164086,-1452.4058206105976,0.047087684322099616,0.2223565583763861
low_q,61,-1224.7228491444898,-4.414257455171082,-1.172181867686806,-11.055140895829727,-1457.33150329839,0.06674843270950523,0.16311979840520557
low_q,62,-1225.1806748040262,-4.204482041011687,-1.163646776274783,-9.677174586424837,-1456.276747463388,0.06387363519787334,0.19148457383553036
low_q,63,-1224.1975426131487,-4.30103875083401,-1.142098437871765,-9.34713840097626,-1454.8281433757156,0.04966152598688566,0.220677597817751
low_q,64,-1222.1439807296933,-4.286161534866949,-1.1429531278905565,-9.60462816544771,-1453.1149299001959,0.04757917249378218,0.22238997562797447
low_q,65,-1224.3261803285664,-4.262852117316356,-1.1442331830986368,-9.52135265686842,-1455.1116875361643,0.05404131445336827,0.2096420585201713
low_q,66,-1223.0370636303833,-4.224715891843658,-1.1543435830331517,-10.150015920082678,-1454.5535913606436,0.06016060738289097,0.20575227191259962
low_q,67,-1227.3570779091256,-4.229397977649967,-1.1423436434778025,-9.670819249121337,-1458.462589138497,0.04865932814389886,0.18796889348784512
low_q,68,-1223.848984569733,-4.426364724535205,-1.1424158806742335,-9.546512864749179,-1454.806717022339,0.04848798684111997,0.22750522961471148
low_q,69,-1224.574914908535,-4.240426987053098,-1.1421985076323298,-9.506145174018997,-1455.3048460590587,0.050913837001189344,0.21721656430478878
low_q,70,-1224.201807554556,-4.5385977461530445,-1.144858880258002,-9.464301413312848,-1455.1688095266502,0.045756194987784805,0.24478715831155887
low_q,71,-1223.888936546599,-5.0486252452301414,-1.1568719205395126,-10.032575225980931,-1456.16983979517,0.04072157730240383,0.2730395730009083
low_q,72,-1221.4620189984062,-4.279129935659995,-1.1421303240299152,-9.858161725885854,-1452.686429287025,0.0494200083599751,0.2168357678886273
low_q,73,-1221.9511499131154,-4.33351492599391,-1.1421055914708107,-9.384719483859076,-1452.6344957805381,0.049594451934981756,0.22437660274333746
low_q,74,-1224.3431957812643,-4.251753921653403,-1.1545677767089317,-9.594625988606364,-1455.2721329781657,0.0414089230768561,0.21577358397308824
low_q,75,-1225.7191842812415,-4.6453415854482785,-1.1458732911236074,-9.459110231499103,-1456.8580517986804,0.04507584961664859,0.2480322538436804
low_q,76,-1221.9436152429623,-4.345342570278518,-1.152041197055938,-9.597947346068155,-1452.876876391622,0.04225520098179497,0.22710602213866896
