muni7,muni6,lon,lat
1718451,171845,-48.882363133309866,-10.422509621757609
1718501,171850,-47.113106775991454,-8.697333055388654
1718550,171855,-48.13622141899313,-6.459934586860253
1718659,171865,-46.737646984173836,-11.33698952332995
1718709,171870,-48.45249518439992,-9.235879405989893
1718758,171875,-47.4960268401322,-9.647344327623589
1718808,171880,-47.918822156996015,-5.3296453325817295
1718840,171884,-49.87615419160204,-12.400941935398794
1718865,171886,-48.97501239471103,-7.093111678607771
1718881,171888,-47.8483301446857,-8.82470109240328
1718899,171889,-49.295011815806305,-10.970034219596414
1718907,171890,-48.108349457042124,-11.397324044636216
1719004,171900,-47.74153308006499,-10.29894987876196
1720002,172000,-47.75109657112256,-6.472654677693831
1720101,172010,-47.93983332560578,-5.976007727607051
1720150,172015,-46.67792659453185,-10.06863348248666
1720200,172020,-47.597778286874984,-5.543426218147212
1720259,172025,-48.36412826940028,-12.577486989756876
1720309,172030,-48.33174729001844,-5.241006986176314
1720499,172049,-48.16985601609368,-11.803960457498308
1720655,172065,-48.00494707720535,-11.130781960752488
1720804,172080,-47.68409467792887,-5.635114027893415
1720853,172085,-48.834375337359404,-12.113245900441235
1720903,172090,-46.56567066351194,-12.387313200928405
1720937,172093,-46.993717422525656,-12.139683595217798
1720978,172097,-49.04841537035974,-12.68216515635253
1721000,172100,-48.15209987530175,-10.220183713460475
1721109,172110,-48.14092595243785,-9.603326508857306
1721208,172120,-47.538071182382325,-6.256840778786943
1721257,172125,-48.25957906739844,-8.938559432204496
1721307,172130,-48.210694484195,-8.356554505532554
1722081,172208,-48.00198291953028,-6.910044906544079
1722107,172210,-48.45103695129687,-6.545416074725921
2100055,210005,-47.33239596080514,-4.785831322776836
2100105,210010,-43.29743182612671,-4.214788543533718
2100154,210015,-42.16619019797566,-2.9464191206122443
2100204,210020,-44.53986061437501,-2.3792913152942856
2100303,210030,-43.38346003867569,-4.502748888382812
2100402,210040,-45.50281252052041,-4.167023511886342
2100436,210043,-44.39583852473041,-4.210627017099863
2100477,210047,-46.00164021007151,-3.870254124900051
2100501,210050,-46.213367718728165,-9.508132262365692
2100550,210055,-45.94804447048062,-1.6730737042585924
2100600,210060,-46.5819391155566,-5.278314157067423
2100709,210070,-44.59890554074384,-3.2557022180823845
2100808,210080,-43.10775715028067,-3.543884003621901
2100832,210083,-45.08737541838344,-1.5353371575427242
2100873,210087,-45.78732704968047,-3.0790933257087936
2100907,210090,-42.01696997160423,-2.9722381550027923
2100956,210095,-45.94591706824459,-5.027687834755372
2101004,210100,-44.72738429356964,-3.53336410445552
2101103,210110,-44.09864916552048,-2.8438711376023624
2101202,210120,-44.761867744748095,-4.171103841520832
2101251,210125,-44.35796733290615,-2.936340758887456
2101301,210130,-45.162548153870524,-1.6832775710058525
2101350,210135,-44.69516459994314,-2.6995996179891284
2101400,210140,-46.34202510039919,-8.236947006434683
2101509,210150,-43.188047198564114,-6.592872635268525
2101608,210160,-45.18303417465139,-5.504070495567318
2101707,210170,-42.91011306144145,-2.8397224128885536
2101731,210173,-43.46234791939696,-3.1013030842775873
2101772,210177,-45.265952580114714,-3.7578284207618555
2101806,210180,-44.568224850081265,-7.120525777447223
2101905,210190,-44.78566469164041,-2.4309345049251654
2101939,210193,-44.687843040873695,-4.680138265617105
2101970,210197,-46.178916428179576,-1.7620714010368559
2102002,210200,-46.41807227908945,-3.9004086793863144
2102036,210203,-46.688623766882515,-4.600778553334568
2102077,210207,-45.020966382694176,-4.3466265113743
2102101,210210,-42.82851510310558,-3.6870140574594545
2102150,210215,-45.65005634933374,-4.365102004348979
2102200,210220,-43.001517311292254,-3.900464674345757
2102309,210230,-43.83049598609219,-5.789156178046736
2102325,210232,-46.34242377914804,-4.493724950336168
2102358,210235,-47.06181266998261,-5.518159032753669
2102374,210237,-43.91931031727025,-3.145208949405746
2102408,210240,-44.598770368893234,-2.874442494232935
2102507,210250,-45.052725622612044,-3.3906355095774203
2102556,210255,-47.26385066549666,-6.176202074806538
2102606,210260,-45.67667229015047,-1.6171379359852847
2102705,210270,-44.262688307328716,-3.621615792074848
2102754,210275,-44.306240676289974,-4.682121240095785
2102804,210280,-47.21135899610721,-7.376265390368798
2102903,210290,-46.029402410171244,-1.3500699853664422
2103000,210300,-43.2991101710738,-4.866385820524154
2103109,210310,-44.59375839415736,-1.9774644812021998
2103125,210312,-44.8579319292124,-2.254875173922603
2103158,210315,-46.116996219597624,-2.4287070314556196
2103174,210317,-46.5334592936814,-3.0705203714701925
2103208,210320,-43.4538433570496,-3.8487218739415856
2103257,210325,-47.82980521582358,-5.057145666286354
2103307,210330,-43.885930826357416,-4.6072199598414025
2103406,210340,-43.11194514066319,-4.248042628784993
2103505,210350,-44.18148322161906,-6.0557236052570405
2103554,210355,-44.838524058162875,-3.7970262882427033
2103604,210360,-44.1453043895305,-4.102182386964883
2103703,210370,-44.82060553364053,-1.672857228271541
2103752,210375,-47.300456447472,-5.598716394788027
2103802,210380,-44.397092949433464,-5.021278287157256
2103901,210390,-43.00987589813496,-4.099141882172639
2104008,210400,-44.89049899786236,-4.899070094400206
2104057,210405,-47.20120264043995,-6.782434323754147
2104073,210407,-46.626748290931374,-7.018602691003685
