uf_code,uf_name,year,<1,1-4,5-9,10-11,12-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
27,3,2016,51060,211235,279910,119100,385735,133249,301551,271546,261879,245116,211817,191172,161644,131625,107569,83775,60372,40972,24103,20199
27,3,2017,50434,207781,274724,116475,376575,133029,306303,271637,261573,248302,217253,193128,167005,135535,110298,86611,62601,42341,25173,20754
27,3,2018,51280,204524,269021,114267,368238,130933,311057,272561,260852,250650,223240,194724,172337,139692,113078,89469,64960,43764,26331,21401
27,3,2019,50885,202931,264190,112375,359475,128037,314307,274544,260015,252315,228962,196938,177074,144117,116084,92288,67415,45307,27495,22157
27,3,2020,50464,201396,261064,108628,351557,125535,315125,277643,259260,253408,233882,200367,180904,148805,119410,95047,69942,47000,28631,23024
27,3,2021,50033,200864,256875,106207,343666,122896,313459,281692,258913,253893,238035,204806,183892,153752,123006,97755,72533,48840,29766,24012
27,3,2022,49579,200523,252908,105100,336024,118992,309591,286741,259230,253759,241311,210264,185933,159030,126824,100408,75194,50812,30920,25134
27,3,2023,49106,198883,250601,103532,329214,115608,303694,291796,260369,253212,243764,216258,187626,164289,130875,103112,77885,52902,32113,26365
27,3,2024,48612,197162,248720,101994,322272,113911,296169,295365,262555,252545,245549,221994,189921,168976,135185,106027,80539,55083,33402,27656
28,3,2015,34619,136741,178832,72823,239947,85107,202656,199975,189752,170936,148608,135344,112366,88487,70550,54606,38627,26550,16286,13845
28,3,2016,33620,136734,176413,73344,233476,85819,204080,200047,192168,174962,151884,137952,116596,92029,72906,56606,40250,27382,16824,14040
28,3,2017,33464,135911,174585,73178,227772,85039,206414,199556,194277,178698,155821,139894,120862,95881,75293,58594,42053,28213,17475,14286
28,3,2018,34572,135407,172611,72089,224090,82782,208810,198918,195987,182119,160192,141557,124970,99948,77813,60595,43958,29111,18187,14592
28,3,2019,34342,135794,171157,71465,220587,80427,209938,198772,197182,185212,164613,143531,128656,104092,80588,62653,45866,30162,18894,14971
28,3,2020,34107,135535,171195,70094,219146,77104,208998,199476,197810,187963,168830,146169,131783,108213,83690,64803,47714,31403,19576,15423
28,3,2021,33874,136037,170200,69061,217842,74289,206551,200938,197923,190377,172825,149416,134360,112325,87090,67026,49542,32800,20252,15960
28,3,2022,33627,136460,169230,68926,215893,73427,201085,203306,197473,192489,176538,153309,136300,116473,90781,69283,51369,34345,20937,16589
