uf,state_name,ensemble_id,foi_pwmean,foi_equiv
AC,Acre,72,0.006075521304779309,0.006072819947541337
AM,Amazonas,72,0.012141333550767968,0.012133285728718565
RR,Roraima,72,0.01554707945007414,0.0155387759779182
PA,Para,72,0.008869692695002507,0.008858968195346411
AP,Amapa,72,0.007303341796825027,0.007288677022416793
TO,Tocantins,72,0.0077404099676177274,0.0077342536695358365
MA,Maranhao,72,0.014265451695227856,0.014248446783121142
PI,Piaui,72,0.017180603651206185,0.01716220828529908
CE,Ceara,72,0.015382933197674482,0.01537341081482634
RN,Rio Grande do Norte,72,0.014451833617444568,0.014443001175028182
PB,Paraiba,72,0.013568270923888109,0.013551694168441066
PE,Pernambuco,72,0.015409048371467712,0.015395276334873921
AL,Alagoas,72,0.010633034749085042,0.01061780538573198
SE,Sergipe,72,0.014657613162443725,0.014651198154887787
BA,Bahia,72,0.013023435589586942,0.013006490513953126
MG,Minas Gerais,72,0.021334413229233337,0.02132243824539038
ES,Espirito Santo,72,0.01908072448381404,0.019073580585975566
RJ,Rio de Janeiro,72,0.01694971787727367,0.016931036297611796
SP,Sao Paulo,72,0.02241500838868524,0.022411215847364132
PR,Parana,72,0.020667123898662057,0.02066317277037746
SC,Santa Catarina,72,0.020196324381185248,0.0201927479772934
RS,Rio Grande do Sul,72,0.0206288465314385,0.020622981123213903
MS,Mato Grosso do Sul,72,0.01546338474113263,0.015458311494140911
MT,Mato Grosso,72,0.010393646558449186,0.01037616691762616
GO,Goias,72,0.012499481502484967,0.012481834985644553
DF,Distrito Federal,72,0.022970040227631605,0.02296774966156447
RO,Rondonia,73,0.007624998090708046,0.0076227913419882574
AC,Acre,73,0.008795715818846637,0.008792967493813456
AM,Amazonas,73,0.008642441446319338,0.008640000334066
RR,Roraima,73,0.013626974076598172,0.013621604111114054
PA,Para,73,0.007990506595315666,0.007988102144091744
AP,Amapa,73,0.0068711485923982915,0.0068690169404744695
TO,Tocantins,73,0.007400191896573545,0.007398187056360038
MA,Maranhao,73,0.010243944824471388,0.010238111670847224
PI,Piaui,73,0.011863006512895678,0.011855230838767123
CE,Ceara,73,0.011570011076405465,0.011564309467064288
RN,Rio Grande do Norte,73,0.011174122683181818,0.011168420552883616
PB,Paraiba,73,0.010726430817196968,0.01072197842970476
PE,Pernambuco,73,0.010404265244369264,0.010398947204771846
AL,Alagoas,73,0.008257690022504392,0.008254742921382095
SE,Sergipe,73,0.011628928703943707,0.011622768121091741
BA,Bahia,73,0.009336067820346659,0.009330025389115456
MG,Minas Gerais,73,0.013486194016119495,0.013481956629498094
