draw,cum_inf_A,cum_inf_B,cum_inf_C,peak_A,peak_B,peak_C,final_S_prop_A,final_S_prop_B,doses_B,infections_averted_B,pct_reduction_B,reported_cases_A,reported_cases_B
342,2369547.743984555,1814544.1990944343,2290280.066683819,101859.07158372138,65438.16618838538,98304.2464275598,0.7512789923552224,0.7251361590796677,913032.0590248336,555003.5448901206,23.422340668132925,118477.38719922776,90727.20995472172
355,2505195.545884048,1970887.2593313982,2421856.21605119,114571.19201670746,74403.69537003068,110572.96149709649,0.737034748699148,0.709663667528486,913032.0590248338,534308.2865526499,21.328007206084187,125259.77729420242,98544.36296656991
374,2299554.85070419,1733598.1898610266,2222939.510399007,99021.58035126944,63102.393405843744,95565.81256004311,0.7586241290298348,0.7332440798447647,913032.0590248336,565956.6608431633,24.611574743253072,114977.7425352095,86679.90949305134
383,2705959.3261958505,2216022.6886383425,2615620.06407664,131558.08709908725,87314.9540477638,126967.17821554263,0.7159472695553799,0.6852248479150362,913032.0590248341,489936.63755750796,18.105838946451613,135297.96630979254,110801.13443191713
390,2393358.5536069274,1842682.2573023308,2313155.352291033,110417.97835223182,69877.59121363949,106564.3724059302,0.7487648716885841,0.7222746546375133,913032.0590248335,550676.2963045966,23.00851644124513,119667.92768034637,92134.11286511655
402,2332650.8076445498,1770552.9437514374,2255101.853943661,101448.25698265254,64983.89322724601,97907.88063158683,0.7551645765493888,0.7296746868626156,913032.0590248333,562097.8638931124,24.096957077802152,116632.5403822275,88527.64718757187
404,2512724.5292055467,1991931.3758753939,2428414.517494031,116957.66458531562,74528.0682527349,112875.89712983592,0.7362189762718696,0.7073015037416787,913032.0590248336,520793.15333015285,20.726233507769873,125636.22646027734,99596.5687937697
406,2528475.9470909447,1999889.200806889,2443880.426539883,115200.2928036189,74317.71989673439,111179.9440686382,0.7345862739440565,0.7067210153898181,913032.0590248335,528586.7462840558,20.905349995209722,126423.79735454725,99994.46004034445
408,2467085.210887869,1936778.648100219,2384430.4844075916,115043.33245257709,73485.99687353382,111028.3758701103,0.7410164211738397,0.7128594907463233,913032.0590248338,530306.5627876499,21.49526738870929,123354.26054439344,96838.93240501096
412,2303367.673197359,1748646.369441605,2225355.014381785,109392.91128747244,66980.07239311123,105574.69857239978,0.7581463359748166,0.7312678679208986,913032.0590248333,554721.3037557539,24.083055007268218,115168.38365986795,87432.31847208025
422,2529046.6281547407,1983077.0169165093,2445949.944556089,109185.42441533308,73110.28705172188,105375.64367432,0.7345950640211764,0.7090138064106678,913032.0590248335,545969.6112382314,21.58796145394066,126452.33140773705,99153.85084582547
424,2591516.9695589854,2061415.7825281206,2505952.7693816097,116914.60696795472,77779.54042105874,112835.00751946488,0.7280139342039349,0.701039450005625,913032.0590248333,530101.1870308649,20.455246608748833,129575.84847794927,103070.78912640603
433,2304234.5191958314,1745615.3422701773,2226916.081133782,103188.15013370194,64947.900517410446,99615.30928017444,0.7581082492498606,0.7318472942429081,913032.0590248327,558619.176925654,24.243156339859446,115211.72595979157,87280.76711350887
475,2644062.208209534,2142167.301918484,2555498.63885352,123380.24705966855,80258.09508703322,119074.54304463229,0.7224431835969684,0.6925491372263286,913032.0590248329,501894.90629105037,18.981962857481932,132203.11041047671,107108.3650959242
478,2499287.062506653,1960443.82997422,2415722.4040312315,112315.60039574609,73003.94050108542,108395.96639546186,0.7376544096330204,0.710749596005424,913032.0590248335,538843.232532433,21.559877639345746,124964.35312533265,98022.191498711
479,2444276.7804989656,1897163.3666729915,2363120.367292579,112131.36821291526,72572.5289343202,108218.2580674887,0.7434486789942897,0.7170986670199995,913032.0590248331,547113.4138259741,22.38344765989588,122213.83902494829,94858.16833364958
480,2397405.322985964,1850750.9065535825,2316698.2300618873,112295.62536047862,70129.35851031053,108376.33960746661,0.7483253297934946,0.7213274778755889,913032.0590248337,546654.4164323814,22.801918857488992,119870.2661492982,92537.54532767914
488,2364974.0804003812,1813977.7063835657,2285711.363420224,104545.21826424371,66357.37943005114,100896.63153209683,0.7517535017571445,0.7251712689156277,913032.0590248328,550996.3740168156,23.298199273437024,118248.70402001907,90698.88531917828
492,2451512.72409809,1927258.7676250567,2368317.7421785463,117392.36627414919,72652.0082794624,113294.97922797942,0.7425846607917592,0.713416006512242,913032.0590248333,524253.9564730334,21.38491680339559,122575.63620490451,96362.93838125284
496,2402128.792908081,1849746.1407541016,2322372.165493748,103658.77399203929,67377.26667256656,100041.36466706694,0.7478551264719366,0.7218569932052296,913032.0590248333,552382.6521539793,22.99554685763748,120106.43964540405,92487.30703770509
501,2269580.587567781,1708850.116554487,2193075.729276679,101095.35631654243,62622.78315099776,97566.87470273372,0.761730183444262,0.7353567707244189,913032.0590248335,560730.4710132941,24.706347687534926,113479.02937838907,85442.50582772435
507,2407506.1469981684,1863121.9653703533,2326307.838638313,111120.17632564271,69084.77749987163,107241.79990924057,0.747253305082777,0.719983216883463,913032.0590248333,544384.1816278151,22.611953963506508,120375.30734990843,93156.09826851767
508,2551372.8353163633,2012606.6267610246,2466932.176166274,112197.22198680154,74375.47269427347,108282.06861675165,0.7322345639499953,0.7058946919291287,913032.0590248336,538766.2085553387,21.116718070275024,127568.64176581817,100630.33133805124
