draw,cum_X_A,cum_X_B,cum_X_C,total_effect,direct_only,indirect,indirect_fraction
1370,2388018.3171737352,1845742.8343852744,2307640.2481922647,542275.4827884608,80378.06898147054,461897.41380699025,0.8517763175127251
1379,2599856.152982653,2098266.3288571457,2512720.122753502,501589.8241255074,87136.03022915125,414453.79389635613,0.8262803070595225
1381,2380538.0221274467,1831704.8338338016,2300836.077509334,548833.1882936452,79701.94461811287,469131.2436755323,0.8547792911979122
1394,2603266.5339332237,2107068.1896855407,2515794.903487266,496198.34424768295,87471.63044595765,408726.7138017253,0.8237163999840048
1400,2597126.4809478256,2075875.2406564741,2510863.8868243936,521251.24029135145,86262.59412343195,434988.6461679195,0.8345086064923015
1409,2433536.673473268,1897986.347329694,2351419.4868591493,535550.3261435737,82117.18661411852,453433.1395294552,0.846667656417216
1418,2542237.7140103625,2031544.537665199,2456998.5081612677,510693.1763451635,85239.20584909478,425453.9704960687,0.8330911596291156
1419,2526733.492587592,1987222.857468317,2443395.0822631298,539510.635119275,83338.41032446222,456172.22479481273,0.8455296246272554
1428,2521726.329174572,2030514.940134642,2436068.5688672997,491211.3890399302,85657.76030727243,405553.62873265776,0.825619352037643
1431,2605712.2217177637,2110706.954437568,2517891.0622692835,495005.26728019584,87821.15944848023,407184.1078317156,0.8225854041291052
1434,2494288.923391558,1962342.3873142193,2411135.485924373,531946.536077339,83153.43746718531,448793.09861015365,0.8436808366487873
1447,2404192.615334448,1848989.0538456764,2324339.7040961497,555203.5614887716,79852.91123829829,475350.6502504733,0.856173632920917
1459,2595445.147749764,2098812.567204733,2508147.7972923215,496632.580545031,87297.35045744246,409335.23008758854,0.8242214589271656
1462,2449414.883102,1915277.8729301128,2367152.3335451675,534137.0101718875,82262.54955683276,451874.4606150547,0.8459897966434485
1478,2771948.8690952966,2308619.03906629,2679215.3368338486,463329.8300290066,92733.53226144798,370596.2977675586,0.799854172446349
1484,2373626.1179387057,1821695.3747361458,2293990.4298424106,551930.7432025599,79635.68809629511,472295.0551062648,0.8557143462706722
1489,2499453.830959905,1955672.1861128893,2416423.598199736,543781.6448470156,83030.23276016908,460751.41208684654,0.8473096075474774
1501,2420235.1411381927,1866112.306790176,2340006.829943257,554122.8343480167,80228.31119493581,473894.52315308084,0.8552156557682147
1506,2404123.0441991934,1847231.3616310146,2324330.5703792013,556891.6825681787,79792.47381999204,477099.2087481867,0.8567181440885979
1507,2482453.27173206,1948469.1542454155,2399644.899106179,533984.1174866443,82808.37262588087,451175.7448607634,0.84492352878276
1508,2650843.6856282568,2177361.8313969993,2561317.9727374483,473481.85423125746,89525.71289080847,383956.141340449,0.8109204986616395
1509,2313298.6993975556,1752235.6162519702,2235784.115879615,561063.0831455854,77514.58351794071,483548.49962764466,0.8618433722579693
1510,2508689.7197032613,1984915.6954172323,2424482.950741406,523774.02428602893,84206.76896185521,439567.2553241737,0.8392307272651792
1512,2437810.8934096885,1888289.6025496728,2357102.6398816276,549521.2908600157,80708.25352806086,468813.0373319548,0.8531298880126187
1513,2285521.893088189,1725342.6139334098,2208656.354805247,560179.2791547792,76865.53828294203,483313.74087183713,0.8627840387118213
1521,2444966.5356168495,1913934.4984790338,2362920.4677068754,531032.0371378157,82046.06790997414,448985.9692278416,0.8454969527786114
1522,2591427.752511501,2073042.7047417455,2505016.5147774937,518385.04776975536,86411.23773400718,431973.8100357482,0.8333068476689794
1526,2416238.8703208934,1866386.3237321437,2335782.110553326,549852.5465887496,80456.75976756727,469395.78682118235,0.8536757531328791
1528,2410635.833167925,1858815.4655874067,2330170.157848281,551820.3675805184,80465.67531964416,471354.6922608742,0.8541813966156241
1541,2532847.707584301,1998946.181781625,2448656.6193879247,533901.5258026761,84191.08819637634,449710.43760629976,0.8423097067014331
1544,2409874.876732479,1863241.2994825456,2328809.577471143,546633.5772499333,81065.29926133575,465568.2779885975,0.8517008419622367
1548,2594960.824067122,2102631.430155138,2507470.0552558037,492329.3939119838,87490.76881131809,404838.6251006657,0.8222922094573145
1550,2512709.631279922,1973930.5757488592,2429033.6346022408,538779.0555310629,83675.99667768134,455103.05885338155,0.8446933008648532
1575,2457358.7624254203,1907911.7036828862,2375561.1373665794,549447.0587425341,81797.62505884096,467649.4336836932,0.8511273765919446
1584,2557316.0787095847,2030811.861293573,2472110.60840216,526504.2174160117,85205.47030742466,441298.74710858706,0.8381675445533981
1596,2534000.670498939,2029362.6008810548,2448383.000810342,504638.06961788447,85617.66968859732,419020.39992928714,0.8303384646476878
1600,2444340.47358167,1893047.417301001,2363568.2149878205,551293.0562806688,80772.25859384937,470520.79768681945,0.8534858045577716
