week_start,t,Inew_age12_diff,Inew_0_11_diff,Inew_65plus_diff,X_total_diff
2021-11-07,358,-0.1067260916715238,-1.4018591859510536,-0.9087630295164502,-7.882940622951992
2021-11-14,359,-0.11105911725931428,-1.4611387771968225,-0.9478513154406585,-8.214180851473088
2021-11-21,360,-0.11493246714799632,-1.51441466205263,-0.9831590788467395,-8.511976316331925
2021-11-28,361,-0.12102906481412568,-1.597085531213736,-1.0376613945524866,-8.975163055975486
2021-12-05,362,-0.12784646354499607,-1.6894459899693288,-1.098575123482064,-9.492825254875243
2021-12-12,363,-0.13544592646680798,-1.7924646452743787,-1.1664701933437271,-10.069824713876073
2021-12-19,364,-0.14438367004078323,-1.9134230244895605,-1.2461859416103778,-10.747621510530621
2021-12-26,365,-0.15595539581218176,-2.069600524717515,-1.3490036181304959,-11.623137524388994
2022-01-02,366,-0.0026512045964270925,0.032736533098074005,0.022428789864619603,0
2022-01-09,367,-0.0043510468679066605,0.055761048381555156,0.038263142886194146,0
2022-01-16,368,-0.00625145067504107,0.08320480372742622,0.05718911317273978,0
2022-01-23,369,-0.008210326613259156,0.11357983019161111,0.07819089678281443,0
2022-01-30,370,-0.015928929209749754,0.22921384781398046,0.15805012112275563,0
2022-02-06,371,-0.019197786658054383,0.28759894312861434,0.19862744692386514,0
2022-02-13,372,-0.026618563048629085,0.4155335406899212,0.2874328572511331,0
2022-02-20,373,-0.029410977188604193,0.4788779649979915,0.331777629331782,1.8189894035458565e-12
2022-02-27,374,-0.06689561481061901,0.26456689595715943,0.19802775821335672,-2.159393602734781
2022-03-06,375,-0.08891425498575245,0.22965128078476482,0.18176323683337614,-3.260579355468508
2022-03-13,376,-0.13035490542682737,-0.02337646095202217,0.02348341744755089,-5.7603226864521275
2022-03-20,377,-0.18376211575616708,-0.35500295900601486,-0.18427555376638338,-9.017603266118385
2022-03-27,378,-0.2473369888191428,-0.8281416615573107,-0.48486041530395596,-13.109214031610463
2022-04-03,379,-0.32300144039481893,-1.4487801288069022,-0.8817749544041362,-18.139474189381872
2022-04-10,380,-0.4031481734745057,-2.1790543090937717,-1.3518813302716808,-23.67513754391257
2022-04-17,381,-0.4847721880495328,-2.98702799458988,-1.8747377485824472,-29.499130125179363
2022-04-24,382,-0.5537867604955409,-3.760812242868269,-2.378202419677109,-34.68657025974244
2022-05-01,383,-0.6111380759246003,-4.472294286297256,-2.8433172684271995,-39.20405707064492
2022-05-08,384,-0.6425858881191289,-4.988486362328331,-3.1843280747798417,-42.05795288858644
2022-05-15,385,-0.6516227487953756,-5.3062548100424465,-3.3978187584361876,-43.38853144046152
2022-05-22,386,-0.6411301628538695,-5.4311524452841695,-3.48604014234661,-43.33161457160895
2022-05-29,387,-0.6095418280193599,-5.337527929248608,-3.432874694626662,-41.74173275042267
2022-06-05,388,-0.5620412068327596,-5.0633820063158055,-3.261779940955421,-38.94394456514419
2022-06-12,389,-0.50734846436319,-4.685272639073446,-3.021872926191463,-35.53052858085721
2022-06-19,390,-0.4446444384229835,-4.196262593008214,-2.7096751038434377,-31.443514247417625
2022-06-26,391,-0.3786371770144683,-3.6433096707787627,-2.3550697561549896,-27.0174791689642
2022-07-03,392,-0.3194318478425089,-3.127853433123164,-2.023826663395539,-22.984414121390728
2022-07-10,393,-0.2617520558924866,-2.6045117805169866,-1.6866382901202996,-18.982710316133307
2022-07-17,394,-0.2122387921921245,-2.143445482113293,-1.3891509495656464,-15.506580527959159
2022-07-24,395,-0.16937331540304967,-1.7342779260097814,-1.1248632692047522,-12.462024338568881
2022-07-31,396,-0.13683092133521768,-1.4195187534369325,-0.921275178938231,-10.135421713743199
2022-08-07,397,-0.10912356692038827,-1.1460588354102583,-0.7443155250268774,-8.13488495936872
2022-08-14,398,-0.08773731272850682,-0.9322448097157121,-0.6058823778965916,-6.580670259628278
2022-08-21,399,-0.069442612577987,-0.7461537548099386,-0.48523068308020356,-5.239120901807837
2022-08-28,400,-0.05665040449280667,-0.6152120345552703,-0.40033510268483496,-4.298075634427732
2022-09-04,401,-0.045758390376903435,-0.5019871034290873,-0.3268827573433555,-3.4904260742150655
2022-09-11,402,-0.03693502834132545,-0.4091466582602834,-0.2666189004820012,-2.831967726438961
