"version","quantity","week_start","q025","median","q975"
"v2","susceptible_proportion",2017-04-16,0.79036376160633,0.866236294160511,0.920503159576736
"v2","susceptible_proportion",2017-04-23,0.761886949363096,0.848389678154248,0.90935577124202
"v2","susceptible_proportion",2017-04-30,0.733771407484195,0.83087487593516,0.898823825443613
"v2","susceptible_proportion",2017-05-07,0.705408323457065,0.812517031899707,0.888586928649858
"v2","susceptible_proportion",2017-05-14,0.679012062035934,0.796412393404481,0.879124043859228
"v2","susceptible_proportion",2017-05-21,0.65715319829783,0.782088004978318,0.870376481218065
"v2","susceptible_proportion",2017-05-28,0.640666077285894,0.77156940344414,0.863977037032231
"v2","susceptible_proportion",2017-06-04,0.627980916066378,0.763255070588632,0.859162231266378
"v2","susceptible_proportion",2017-06-11,0.619030191707278,0.757223191704772,0.855515625278016
"v2","susceptible_proportion",2017-06-18,0.611656836363177,0.752715448622817,0.852810029310027
"v2","susceptible_proportion",2017-06-25,0.605997814088656,0.749205809261851,0.85068526005569
"v2","susceptible_proportion",2017-07-02,0.601738625960422,0.746555794834659,0.849139395453503
"v2","susceptible_proportion",2017-07-09,0.598177893421707,0.74439681589667,0.8477363012842
"v2","susceptible_proportion",2017-07-16,0.59529479742689,0.742790027295792,0.846722101184082
"v2","susceptible_proportion",2017-07-23,0.59324228087445,0.741463826596522,0.845937976152299
"v2","susceptible_proportion",2017-07-30,0.591545175350297,0.740385042622772,0.845265180840465
"v2","susceptible_proportion",2017-08-06,0.590266685684735,0.739559618661773,0.844777245645279
"v2","susceptible_proportion",2017-08-13,0.58924351973635,0.738907893077893,0.844402289585835
"v2","susceptible_proportion",2017-08-20,0.588475415393098,0.738421328798603,0.844077208806966
"v2","susceptible_proportion",2017-08-27,0.587953332798763,0.738037698079337,0.843861163508623
"v2","susceptible_proportion",2017-09-03,0.587460138431348,0.73775850355227,0.843705871207896
"v2","susceptible_proportion",2017-09-10,0.587122326134617,0.737526525496456,0.843576849190507
"v2","susceptible_proportion",2017-09-17,0.586814612211032,0.737330867729772,0.843464535656011
"v2","susceptible_proportion",2017-09-24,0.586571885228696,0.73718134473582,0.843353086662329
"v2","susceptible_proportion",2017-10-01,0.586344525527299,0.737040913536154,0.843265485312434
"v2","susceptible_proportion",2017-10-08,0.586167045826823,0.736912741961643,0.843189250105049
"v2","susceptible_proportion",2017-10-15,0.586047451223979,0.7367963636118,0.843119524755388
"v2","susceptible_proportion",2017-10-22,0.58592242768647,0.736701162702272,0.843061603483286
"v2","susceptible_proportion",2017-10-29,0.585790606039928,0.736619005346171,0.843010957032676
"v2","susceptible_proportion",2017-11-05,0.585643654127466,0.736535311717351,0.842949128967439
"v2","susceptible_proportion",2017-11-12,0.585513255965241,0.736455434418539,0.842892671126479
"v2","susceptible_proportion",2017-11-19,0.58537778616167,0.736386843742525,0.842844883334281
"v2","susceptible_proportion",2017-11-26,0.585272822036276,0.736320552025713,0.842791373138847
"v2","susceptible_proportion",2017-12-03,0.585175386970336,0.736256730983183,0.842747691818001
"v2","susceptible_proportion",2017-12-10,0.585080040151115,0.736196090973392,0.842707391500802
"v2","susceptible_proportion",2017-12-17,0.585006693934734,0.736130262993021,0.842669593106757
"v2","susceptible_proportion",2017-12-24,0.584922231205128,0.736076329679872,0.842641949785539
"v2","susceptible_proportion",2017-12-31,0.584857187239621,0.736028407603127,0.84261057913513
"v2","susceptible_proportion",2018-01-07,0.58476413417766,0.735969988605225,0.842572975558976
"v2","susceptible_proportion",2018-01-14,0.584676074437068,0.735906478733052,0.842537706795721
"v2","susceptible_proportion",2018-01-21,0.58458429103085,0.735834664751604,0.842502307314421
"v2","susceptible_proportion",2018-01-28,0.584490236943421,0.735766535178277,0.842461889668974
"v2","susceptible_proportion",2018-02-04,0.584381704729349,0.735706476852549,0.842418355077347
"v2","susceptible_proportion",2018-02-11,0.584279200661876,0.735642764162361,0.842375779590059
"v2","susceptible_proportion",2018-02-18,0.584165755161617,0.735574886536746,0.842327814678553
"v2","susceptible_proportion",2018-02-25,0.584047744695194,0.735484684224285,0.84226701666561
"v2","susceptible_proportion",2018-03-04,0.583904865795542,0.735394596631364,0.842207455907007
"v2","susceptible_proportion",2018-03-11,0.583771529861361,0.73531607561773,0.842139626112002
"v2","susceptible_proportion",2018-03-18,0.583636341526765,0.735234801207218,0.842070887662692
"v2","susceptible_proportion",2018-03-25,0.583502790430138,0.735164348899665,0.842003849378947
"v2","susceptible_proportion",2018-04-01,0.583392102617788,0.735090262191289,0.841933141823404
"v2","susceptible_proportion",2018-04-08,0.583237532302599,0.734993768194405,0.841870582971432
"v2","susceptible_proportion",2018-04-15,0.583102722276189,0.734900031194826,0.841798894575874
"v2","susceptible_proportion",2018-04-22,0.582966351519994,0.734803745258297,0.841742295762663
"v2","susceptible_proportion",2018-04-29,0.582871815013103,0.734718798635932,0.841700731763278
"v2","susceptible_proportion",2018-05-06,0.582786423676982,0.734656430454884,0.841670989333011
"v2","susceptible_proportion",2018-05-13,0.582717541432538,0.734607977223991,0.841647886095434
