state,wave_id,onset_week,peak_week,end_week,wave_end_censored,wave_order,is_recurrence,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,candidate_wave,major_epidemic_primary,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,wave_definition_stable,major_wave_definition_stable,reason_not_major,reason_re6_not_eligible
PB,PB_wave_02,3/22/2015,5/10/2015,6/21/2015,FALSE,NA,NA,0.025432098,0.042386829,1,2/15/2015,0,0,5,14,7,7,0.178024684,1,1,5,1,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen)
PB,PB_wave_03,2/7/2016,5/8/2016,12/4/2016,FALSE,1,FALSE,17.58706037,16.7026536,696,6/21/2015,0,0,21,44,13,7712,194.8727149,198,409,742,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PB,PB_wave_04,12/18/2016,5/28/2017,12/17/2017,FALSE,2,TRUE,1.908822578,1.883706491,76,12/4/2016,0.033691687,0.017885847,30,53,23,1368,34.36140194,41,69,105,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PB,PB_wave_05,12/31/2017,6/10/2018,12/16/2018,FALSE,3,TRUE,0.57379317,0.681899129,23,12/17/2017,0.133952462,0.196440288,6,51,23,621,15.49410115,37,49,73,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PB,PB_wave_06,12/30/2018,4/21/2019,1/26/2020,FALSE,4,TRUE,0.891572412,0.982380713,36,12/16/2018,0.066526744,0.097560976,15,57,16,1137,28.15132487,34,56,73,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PB,PB_wave_07,3/8/2020,7/5/2020,12/20/2020,FALSE,5,TRUE,1.96805115,2.000852002,80,1/26/2020,0.123003197,0.125209295,13,42,17,1208,29.71757236,33,50,77,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PB,PB_wave_08,1/3/2021,7/4/2021,12/26/2021,FALSE,6,TRUE,11.15519097,10.7882439,456,12/20/2020,0.114802984,0.057377049,14,52,26,9266,226.6754375,208,428,679,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PB,PB_wave_09,1/23/2022,5/8/2022,12/18/2022,FALSE,7,TRUE,22.3086751,22.3736203,916,12/26/2021,1.114976187,0.103351036,14,48,15,16641,405.2823825,783,1474,2365,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PB,PB_wave_10,12/25/2022,4/2/2023,12/17/2023,FALSE,8,TRUE,1.260768662,1.260768662,52,12/18/2022,0.154244842,0.122341907,8,52,14,1260,30.54972118,44,83,113,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PB,PB_wave_11,12/24/2023,3/3/2024,9/15/2024,FALSE,9,TRUE,2.750275028,2.557273271,114,12/17/2023,0.20204626,0.16025641,11,39,10,1392,33.58543422,57,102,173,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
