state,ensemble_id,foi_pwmean_grid,foi_equiv_grid,foi_pwmean_existing,foi_equiv_existing,pwmean_difference,equivalent_difference,pwmean_abs_difference,equivalent_abs_difference,max_temporal_weight_mean_deviation,aggregation_status
AL,15,0.009439253301065363,0.0094353013543516,0.00943925330106535,0.00943530135435159,1.3877787807814457e-17,1.0408340855860843e-17,1.3877787807814457e-17,1.0408340855860843e-17,6.661338147750939e-16,NA
AL,16,0.010836300031421263,0.010833559511503069,0.01083630003142125,0.01083355951150306,1.3877787807814457e-17,8.673617379884035e-18,1.3877787807814457e-17,8.673617379884035e-18,6.661338147750939e-16,NA
AL,17,0.010551048449747587,0.010544732413514809,0.01055104844974756,0.01054473241351481,2.6020852139652106e-17,-1.734723475976807e-18,2.6020852139652106e-17,1.734723475976807e-18,6.661338147750939e-16,NA
AL,18,0.00949539007685911,0.009492094663314628,0.00949539007685912,0.00949209466331463,-8.673617379884035e-18,-1.734723475976807e-18,8.673617379884035e-18,1.734723475976807e-18,6.661338147750939e-16,NA
AL,19,0.009100985263408254,0.009096042256119527,0.00910098526340826,0.00909604225611953,-5.204170427930421e-18,-3.469446951953614e-18,5.204170427930421e-18,3.469446951953614e-18,6.661338147750939e-16,NA
AL,20,0.008388918475950373,0.008383409554170171,0.00838891847595036,0.00838340955417017,1.3877787807814457e-17,1.734723475976807e-18,1.3877787807814457e-17,1.734723475976807e-18,6.661338147750939e-16,NA
AL,21,0.00803960160865423,0.008035258156888594,0.00803960160865423,0.00803525815688859,0,3.469446951953614e-18,0,3.469446951953614e-18,6.661338147750939e-16,NA
AL,22,0.008577780615071747,0.008574590525198995,0.00857778061507176,0.00857459052519899,-1.214306433183765e-17,5.204170427930421e-18,1.214306433183765e-17,5.204170427930421e-18,6.661338147750939e-16,NA
AL,23,0.007874321788359092,0.007871838853499404,0.00787432178835908,0.0078718388534994,1.214306433183765e-17,3.469446951953614e-18,1.214306433183765e-17,3.469446951953614e-18,6.661338147750939e-16,NA
AL,24,0.009691068960983913,0.009684185796495302,0.0096910689609839,0.00968418579649529,1.214306433183765e-17,1.214306433183765e-17,1.214306433183765e-17,1.214306433183765e-17,6.661338147750939e-16,NA
AL,25,0.00843886985718979,0.008436517785140539,0.00843886985718978,0.00843651778514054,8.673617379884035e-18,-1.734723475976807e-18,8.673617379884035e-18,1.734723475976807e-18,6.661338147750939e-16,NA
AL,26,0.00657725209098221,0.006574033711379925,0.00657725209098221,0.00657403371137992,0,5.204170427930421e-18,0,5.204170427930421e-18,6.661338147750939e-16,NA
AL,27,0.007721962653886391,0.007719603618838053,0.00772196265388639,0.00771960361883805,8.673617379884035e-19,3.469446951953614e-18,8.673617379884035e-19,3.469446951953614e-18,6.661338147750939e-16,NA
AL,28,0.00789428992319123,0.007890778862539673,0.00789428992319123,0.00789077886253966,0,1.214306433183765e-17,0,1.214306433183765e-17,6.661338147750939e-16,NA
