uf,ensemble_id,population_valid_member
CE,74,9231781.187078971
RN,74,3507821.7576041836
PB,74,3955894.870931454
PE,74,8629317.96753044
AL,74,3240735.70037111
SE,74,2355418.1888673343
BA,74,11954097.590811327
MG,74,21621219.42816297
ES,74,3526464.369977629
RJ,74,14734392.121075094
SP,74,44800008.41187476
PR,74,11565177.68314045
SC,74,6731200.931452617
RS,74,11148654.159974465
MS,74,3016644.6672508125
MT,74,3856895.956432085
GO,74,7355714.437435157
DF,74,3202296.1569077363
RO,75,1847002.224805989
AC,75,1043746.7574866614
AM,75,4421603.470109693
RR,75,642204.9111020697
PA,75,9101773.136145487
AP,75,809802.386247158
TO,75,1694476.827267029
MA,75,6976988.781082074
PI,75,3445902.713711337
CE,75,9231781.187078971
RN,75,3507821.7576041836
PB,75,3955894.870931454
PE,75,8629317.96753044
AL,75,3240735.70037111
SE,75,2355418.1888673343
BA,75,11954097.590811327
MG,75,21621219.42816297
ES,75,3526464.369977629
RJ,75,14734392.121075094
SP,75,44800008.41187476
PR,75,11565177.68314045
SC,75,6731200.931452617
RS,75,11148654.159974465
MS,75,3016644.6672508125
MT,75,3856895.956432085
GO,75,7355714.437435157
DF,75,3202296.1569077363
RO,76,1847002.224805989
AC,76,1043746.7574866614
AM,76,4421603.470109693
RR,76,642204.9111020697
PA,76,9101773.136145487
AP,76,809802.386247158
TO,76,1694476.827267029
MA,76,6976988.781082074
PI,76,3445902.713711337
CE,76,9231781.187078971
RN,76,3507821.7576041836
PB,76,3955894.870931454
PE,76,8629317.96753044
AL,76,3240735.70037111
SE,76,2355418.1888673343
BA,76,11954097.590811327
MG,76,21621219.42816297
ES,76,3526464.369977629
RJ,76,14734392.121075094
SP,76,44800008.41187476
PR,76,11565177.68314045
SC,76,6731200.931452617
RS,76,11148654.159974465
MS,76,3016644.6672508125
MT,76,3856895.956432085
GO,76,7355714.437435157
DF,76,3202296.1569077363
RO,77,1847002.224805989
AC,77,1043746.7574866614
AM,77,4421603.470109693
RR,77,642204.9111020697
PA,77,9101773.136145487
AP,77,809802.386247158
TO,77,1694476.827267029
MA,77,6976988.781082074
PI,77,3445902.713711337
CE,77,9231781.187078971
RN,77,3507821.7576041836
PB,77,3955894.870931454
PE,77,8629317.96753044
AL,77,3240735.70037111
SE,77,2355418.1888673343
BA,77,11954097.590811327
MG,77,21621219.42816297
ES,77,3526464.369977629
RJ,77,14734392.121075094
SP,77,44800008.41187476
PR,77,11565177.68314045
SC,77,6731200.931452617
RS,77,11148654.159974465
MS,77,3016644.6672508125
MT,77,3856895.956432085
GO,77,7355714.437435157
DF,77,3202296.1569077363
RO,78,1847002.224805989
AC,78,1043746.7574866614
AM,78,4421603.470109693
RR,78,642204.9111020697
PA,78,9101773.136145487
AP,78,809802.386247158
TO,78,1694476.827267029
MA,78,6976988.781082074
PI,78,3445902.713711337
CE,78,9231781.187078971
RN,78,3507821.7576041836
PB,78,3955894.870931454
PE,78,8629317.96753044
AL,78,3240735.70037111
SE,78,2355418.1888673343
BA,78,11954097.590811327
MG,78,21621219.42816297
ES,78,3526464.369977629
RJ,78,14734392.121075094
SP,78,44800008.41187476
PR,78,11565177.68314045
SC,78,6731200.931452617
RS,78,11148654.159974465
MS,78,3016644.6672508125
MT,78,3856895.956432085
GO,78,7355714.437435157
DF,78,3202296.1569077363
RO,79,1847002.224805989
AC,79,1043746.7574866614
AM,79,4421603.470109693
RR,79,642204.9111020697
PA,79,9101773.136145487
AP,79,809802.386247158
TO,79,1694476.827267029
MA,79,6976988.781082074
PI,79,3445902.713711337
CE,79,9231781.187078971
RN,79,3507821.7576041836
PB,79,3955894.870931454
PE,79,8629317.96753044
AL,79,3240735.70037111
SE,79,2355418.1888673343
BA,79,11954097.590811327
